odom_x, odom_y, odom_th, timestamp, 
1.1949707641178975e-06, -1.3918142940383404e-06, 1.3828270205290953e-05, 1732747036389791250, 
1.1949707641178975e-06, -1.3918142940383404e-06, 1.3828270355653738e-05, 1732747036439747669, 
1.1949707641178975e-06, -1.3918142940383404e-06, 1.3828272246938855e-05, 1732747036479318443, 
1.1949707641178975e-06, -1.3918142940383404e-06, 1.3828272051183043e-05, 1732747036529878459, 
1.1949707641178975e-06, -1.3918142940383404e-06, 1.3828270346003883e-05, 1732747036579354512, 
1.1949707641178975e-06, -1.3918142940383404e-06, 1.382827282350611e-05, 1732747036629630154, 
1.1949707641178975e-06, -1.3918142940383404e-06, 1.3828276024862913e-05, 1732747036679335855, 
1.1949707641178975e-06, -1.3918142940383404e-06, 1.3828278532642521e-05, 1732747036719700582, 
1.1949707641178975e-06, -1.3918142940383404e-06, 1.3828282695133362e-05, 1732747036789352512, 
1.1949707641178975e-06, -1.3918142940383404e-06, 1.3828286218953998e-05, 1732747036839361602, 
1.1949707641178975e-06, -1.3918142940383404e-06, 1.38282893392909e-05, 1732747036879416115, 
1.1949707641178975e-06, -1.3918142940383404e-06, 1.3828294796291796e-05, 1732747036979330198, 
1.1949707641178975e-06, -1.3918142940383404e-06, 1.3828300253292692e-05, 1732747037079331905, 
1.1949707641178975e-06, -1.3918142940383404e-06, 1.3828302981793138e-05, 1732747037119413350, 
1.1743679806386353e-06, -1.367817617392575e-06, 1.358950096600761e-05, 1732747051989713907, 
1.1743679806386353e-06, -1.367817617392575e-06, 1.3589498237507773e-05, 1732747052040457130, 
1.1743679806386353e-06, -1.367817617392575e-06, 1.3589495509007936e-05, 1732747052080443043, 
1.1743679806386353e-06, -1.367817617392575e-06, 1.3589490052008264e-05, 1732747052179195569, 
1.1743679806386353e-06, -1.367817617392575e-06, 1.3589484595008593e-05, 1732747052280430358, 
1.1743679806386353e-06, -1.367817617392575e-06, 1.3589478228508975e-05, 1732747052389991795, 
1.1743679806386353e-06, -1.367817617392575e-06, 1.3589472771509302e-05, 1732747052480460262, 
0.000699513650033623, 6.583852518815547e-05, -0.0013308627772167297, 1732747052579448756, 
0.010109866969287395, -0.0002577677078079432, -0.0024729115750648416, 1732747052680439726, 
0.021412326022982597, -0.0007588416337966919, -0.010423760001413361, 1732747052789906425, 
0.029163014143705368, -0.0006719714729115367, -0.006647646789621638, 1732747052880435713, 
0.03880933299660683, -0.0006714173359796405, -0.005430982345741863, 1732747052979411275, 
0.04823566600680351, -0.0007941299700178206, -0.004715481206996923, 1732747053080553192, 
0.05862884595990181, -0.0010942548979073763, -0.003851918196074939, 1732747053190033717, 
0.06690991669893265, -0.0009678358328528702, -0.004564325654431483, 1732747053280463647, 
0.07634678483009338, -0.001138240215368569, -0.0005774330814450866, 1732747053379474047, 
0.08576755225658417, -0.0011991896899417043, 0.003921344719881388, 1732747053481484141, 
0.09582363069057465, -0.0011256164871156216, 0.005058139748972476, 1732747053589613659, 
0.1041121706366539, -0.0012872943188995123, 0.012189339885869524, 1732747053680454607, 
0.11334094405174255, -0.0005574722890742123, 0.07265190756967212, 1732747053780416068, 
0.1221771389245987, -0.0001493927265983075, 0.12277537562641994, 1732747053876530539, 
0.13098250329494476, 0.0008652136311866343, 0.1661912916513353, 1732747053971021787, 
0.14101257920265198, 0.002889367751777172, 0.2243817184896357, 1732747054080469136, 
0.15004581212997437, 0.005143763031810522, 0.2731498230050249, 1732747054180480395, 
0.15876901149749756, 0.00772139523178339, 0.3235621954050963, 1732747054276520660, 
0.1671345829963684, 0.010714785195887089, 0.3712726517313869, 1732747054370198309, 
0.17666664719581604, 0.014806349761784077, 0.4263628916630329, 1732747054480468478, 
0.18501593172550201, 0.018827326595783234, 0.4783457396479946, 1732747054580422989, 
0.19326576590538025, 0.023251106962561607, 0.524881688064654, 1732747054677441824, 
