imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.04992409003527127, -0.028810813843964524, -0.04988774691221068, 5.239368317144036e-12, 1.98391268218606e-05, 2.6409268735410327e-07, -1.977153785689351, -0.5000010339689749, 3568000000, 
-0.03276958882784363, -0.03458545907723729, -0.03278667274114747, -1.6903457809643656e-11, 4.467197215822071e-05, -3.7839067748731606e-07, -1.9771596458915128, -0.5000010339722029, 3610000000, 
-0.05058786108368656, -0.009974069360993454, -0.050570095350691346, 7.405538542169734e-12, 5.9865880611474024e-05, 1.2370215666301204e-07, -1.977157702492559, -0.5000010339705697, 3652000000, 
-0.07903511064342678, -0.0037547707620980662, -0.07900670222794108, 3.8068696953552963e-11, 7.253790808010125e-05, 5.248110672217751e-07, -1.977153861857781, -0.5000010339673987, 3713000000, 
-0.07153618415256081, -0.0021906741440711214, -0.07154363951957672, 5.214778355859661e-11, 8.182483021712365e-05, 6.373100123791462e-07, -1.9771495516997302, -0.5000010339638075, 3769000000, 
-0.06396093463570905, -0.0010309494339938473, -0.06396850194881183, 3.588329940575988e-11, 6.627132586324753e-05, 5.414604120008995e-07, -1.9771442954354417, -0.5000010339592733, 3830000000, 
-0.04155334827618015, 0.033661077576556536, -0.04157571830762447, 3.937593887625204e-11, 1.6850026966068812e-05, 2.3368472320871678e-06, -1.977138588930738, -0.500001033954129, 3910000000, 
-0.053931958679593384, -0.003269716687270097, -0.05391962695831454, 1.5831643520663906e-11, -3.2501173477893826e-05, -4.871099048602673e-07, -1.977137496251951, -0.5000010339530965, 3967000000, 
-0.060872725996724164, 0.006091522800182302, -0.06086578647721689, 5.83372253417326e-11, -6.13307451760841e-05, -9.51190551724801e-07, -1.977139608531584, -0.5000010339553735, 4041000000, 
-0.036155873873044274, 0.008275413346786397, -0.03618053418235298, 4.5013579789607645e-11, -4.438395129503e-05, -1.0141859495652464e-06, -1.9771436554069728, -0.50000103395959, 4112000000, 
-0.05313531479475964, 0.010278038793222297, -0.053118393747443884, 5.526743627277152e-12, -1.236541089827555e-05, -4.4695187832762583e-07, -1.9771457825635608, -0.5000010339616625, 4162000000, 
-0.0531172576120478, -0.029110403063352115, -0.05311725861226713, 5.273560366309928e-12, 1.5405491782846236e-05, 3.423169114394616e-07, -1.977146266783774, -0.5000010339621098, 4212000000, 
-0.04833193423238045, 0.025628873076164887, -0.04833670991983448, 3.876927114528529e-11, 4.5054280500308845e-05, 8.605013933142163e-07, -1.977145544731584, -0.500001033961459, 4253000000, 
-0.04006033947353551, 0.01147408976781637, -0.04006859911593891, 5.254184341394213e-11, 5.235931233431258e-05, 1.0034861244636693e-06, -1.9771423089609657, -0.5000010339584969, 4320000000, 
-0.060159550052909, 0.0006815147263735553, -0.060139498874532404, 2.3705988947094694e-11, 5.190789389728119e-05, 4.5669333057522405e-07, -1.9771373913210066, -0.5000010339537116, 4408000000, 
-0.0906694105490416, -0.03435512638106533, -0.09063894139615594, -4.7733638231065814e-11, 3.154566412751254e-05, -1.5131600348662475e-06, -1.9771346465558135, -0.5000010339507984, 4458000000, 
