imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.08060647554060095, 0.0013481402653653224, -0.08052608740245062, 2.979833198566221e-14, -3.6284936778090146e-07, -8.21231470455676e-08, -1.9196902645951963, -0.5000008777322518, 35845000000, 
-0.0587293770231612, -0.006388181133173268, -0.05875112968301942, 1.7851940612511513e-13, -2.788128327774718e-06, -6.402840369531929e-08, -1.9197115545961134, -0.5000008777645091, 35929000000, 
-0.033288826193408116, -0.013666487305235998, -0.0333142373247869, 4.37592222529734e-14, -1.3407210677860576e-06, -3.263857285783785e-08, -1.9197114277838714, -0.5000008777645362, 36009000000, 
-0.04563147859949239, -0.027240923075602486, -0.04561918581170883, -2.308023718241987e-17, 5.742694206452292e-10, -4.0190608018946426e-08, -1.9197113882396528, -0.5000008777645335, 36069000000, 
-0.0424074321358362, -0.0543727362310752, -0.042410637278133996, 8.236783569588967e-14, -1.0264619475044458e-06, -8.024441227085325e-08, -1.9197111837263099, -0.5000008777645201, 36136000000, 
-0.06051664780442063, 0.018734885212584127, -0.06049857782992392, -1.8211778456750437e-13, 2.0652137555916654e-06, -8.818350355957669e-08, -1.9197111439039762, -0.5000008777645175, 36181000000, 
-0.07823246744101307, -0.02847582151423443, -0.0782147686916476, -2.088193558767809e-14, 1.6620058213880073e-07, -1.2564297500618111e-07, -1.9197107740349724, -0.5000008777644956, 36244000000, 
-0.05350998661247751, -0.03537485553262519, -0.05353464178936566, 1.913905848379408e-13, -2.708927686184519e-06, -7.06517880909222e-08, -1.9197104436411632, -0.500000877764478, 36308000000, 
-0.0757930272288398, -0.0036885470869993486, -0.07577081313620122, 1.2496933391407835e-14, -2.1445839615882173e-07, -5.8272064023797716e-08, -1.9197104548800052, -0.5000008777644784, 36354000000, 
-0.047571527091236666, -0.01001721601202876, -0.04759966989110455, 1.4194798159025487e-14, -2.1557224595247088e-07, -6.584705789146503e-08, -1.919710237820265, -0.5000008777644692, 36409000000, 
-0.04179454827248394, -0.013352943284814222, -0.041800341606357344, 6.034237909634647e-14, -9.045272380001426e-07, -6.671151134128362e-08, -1.9197100450167794, -0.5000008777644617, 36475000000, 
-0.08670663143774826, -0.0028896995188563983, -0.08666181439889661, -1.5216061504695173e-14, 2.488997403022296e-07, -6.113329602601787e-08, -1.9197097878063634, -0.5000008777644528, 36565000000, 
-0.03551335324952709, -0.009499301695694379, -0.0355643992341319, 1.9621876110786103e-13, -2.7566655199356277e-06, -7.117974947952446e-08, -1.9197093340642555, -0.5000008777644397, 36636000000, 
-0.03617675082521691, 0.01592166455673068, -0.03617613956333707, 7.074006601946474e-14, -6.307021510830978e-07, -1.1216081298911636e-07, -1.9197093698647687, -0.5000008777644406, 36697000000, 
-0.05282713640181816, -0.0020795204835977596, -0.05281051845707306, -1.3613981804069996e-13, 2.177601833581143e-06, -6.251823264531938e-08, -1.9197092453914786, -0.5000008777644381, 36765000000, 
-0.10042035456572752, -0.014547175712086446, -0.10037283944670022, 4.9426656812383014e-14, -4.765495471925965e-07, -1.0371777101365566e-07, -1.9197088247914131, -0.5000008777644329, 36836000000, 
-0.039300329385090496, 0.008518830731547376, -0.03936127989487412, 2.5061321140921137e-13, -2.772001099069464e-06, -9.04087705785326e-08, -1.9197086834826398, -0.5000008777644317, 36876000000, 
-0.06892650473545313, -0.008976057674503908, -0.0688969983521655, -4.014848068669906e-14, 1.2812286621158298e-06, -3.1335921427481635e-08, -1.919708707942222, -0.5000008777644318, 36936000000, 
-0.04618403326350829, -0.004431526290962799, -0.04620670059883929, 4.3199168799860056e-14, -6.247390646604498e-07, -6.914753893825916e-08, -1.9197083028298676, -0.5000008777644324, 37004000000, 
-0.06995550580112299, -0.01238039595050897, -0.06993180416831651, -5.249816404703106e-14, 9.012967280876139e-07, -5.824737005139531e-08, -1.91970813726205, -0.500000877764433, 37071000000, 
-0.06936472039232297, 0.03258417811031518, -0.06936528611866538, 1.5770165664067507e-13, -2.743714247108002e-06, -5.7477434760890165e-08, -1.9197078590768795, -0.5000008777644354, 37128000000, 
-0.03204910686206925, 0.010879161218282201, -0.032086348329436395, 1.767986008347029e-14, -2.0359674905452013e-07, -8.683763451810269e-08, -1.9197077628210604, -0.5000008777644365, 37190000000, 
-0.07309677608540105, 0.004735104391020283, -0.07305584737720272, -1.4244097534323933e-14, 1.7689133973678058e-07, -8.052456132402841e-08, -1.9197076768980268, -0.5000008777644377, 37245000000, 
-0.053999945806511636, 0.008693453780634545, -0.054018963384069696, 1.0585573314555633e-13, -1.7789543074568648e-06, -5.9504469958469166e-08, -1.9197073573029397, -0.500000877764444, 37310000000, 
-0.050373682658782275, -0.0023881879663230055, -0.0503773204601098, -6.792300845227939e-14, 1.5428127403131937e-06, -4.402543917189257e-08, -1.9197072599554619, -0.5000008777644465, 37372000000, 
-0.08002810048865938, 0.014385987026144563, -0.0799985087048854, -6.65286900310703e-14, 1.899709549306114e-06, -3.502045355058119e-08, -1.9197070156033456, -0.5000008777644535, 37428000000, 
-0.05598183632675428, 0.010205208712573903, -0.055940489591051135, 6.631452826208868e-11, -0.0009756623193535319, -6.79687294944713e-08, -1.8541332482868664, -0.5000008798195594, 104495000000, 
-0.06465674538915762, 0.0018625464516740012, -0.064648046516133, -1.577434663950711e-12, 8.361638828126381e-07, -1.8865137521183413e-06, -1.854138097919832, -0.5000008798079532, 104500000000, 
-0.07337566109606479, -0.024573866221486797, -0.07336695080980812, 1.2631819564860044e-13, -1.1549511205778684e-06, -1.09371031724181e-07, -1.8541379842147072, -0.500000879808224, 104536000000, 
-0.13373312643131385, 0.02797931061219841, -0.13367288024235405, 4.5169531012497514e-13, -4.324689395481668e-06, -1.0444572287593546e-07, -1.8541376285055764, -0.5000008798090958, 104614000000, 
-0.018368504431795527, 0.0026061490277626735, -0.018483573326923686, -1.0836179975656506e-06, 0.06753648506657026, -1.604492736774109e-05, -1.8541324718465035, -0.5000008798217765, 104685000000, 
-0.01878837910174765, -0.01389586866378002, -0.0187880730520494, -0.005549463751312895, 0.0997055027924407, -0.055658550389794885, -1.8503485706170881, -0.5000008891740576, 104741000000, 
-0.025267919492389237, -0.006816560081867785, -0.025261452488114736, -0.009263597127954618, 0.09968570423555807, -0.09292804017379129, -1.8435685109712705, -0.5000009331220835, 104809000000, 
-0.08226692463728816, -0.009081557929987723, -0.08221003278604595, -0.008474425642583307, 0.09988279265454533, -0.08484369947377181, -1.8374876182662914, -0.5000240028053495, 104870000000, 
-0.045028429567726125, 0.002406007330813239, -0.045065536770780935, -0.007597377371652723, 0.0989657057223608, -0.07676777845617014, -1.8316944502370105, -0.5000788188320133, 104928000000, 
-0.03485414771551493, -0.0038169906292422344, -0.03486433850023468, -0.004110138023490701, 0.09972935275802523, -0.04121292187128887, -1.8253610497329218, -0.5001699144233187, 104992000000, 
-0.06073503384888493, -0.013343905780358023, -0.06070921456456371, -0.005759381004933631, 0.1000995873993208, -0.05753651093443677, -1.8182813913982274, -0.500306521050704, 105063000000, 
-0.04730635691912549, -0.013541009098706333, -0.04731973283972322, -0.0052422904850778305, 0.10025336775592944, -0.05229041779265094, -1.8126769987108482, -0.500431074067447, 105119000000, 
-0.14042062793355706, -0.02247243566168442, -0.14032771265830318, -0.006590491024612179, 0.10107663790975992, -0.06520291098815628, -1.808467605350631, -0.5005381937194121, 105161000000, 
-0.042433229307369355, -0.0017462794473028828, -0.04253092814395967, -0.00538113145736619, 0.09993545555171282, -0.05384606922196555, -1.8030112025859066, -0.500689041681596, 105215000000, 
-0.04215894582095757, -0.019806323846396606, -0.042159316908606886, -0.00437956724749816, 0.10019854303961627, -0.04370889151318874, -1.7973174906446774, -0.5008665115116698, 105272000000, 
0.1714751004824573, -0.023492266998375234, 0.1712618924348956, -0.004313240122409176, 0.10092513033362413, -0.04273702801424256, -1.7918096322416224, -0.5010551081943814, 105327000000, 
-0.23667980267952468, 0.02841492682278462, -0.23627267589985645, -0.003717390865882384, 0.09798066879049089, -0.037940043804264786, -1.7846498200857428, -0.5013175034146004, 105398000000, 
