x, y, theta, stamp, 
-1.4419609328797378e-07, 1.6797780233446247e-07, -1.6689585492839006e-06, 1729718936866172116, 
-1.2359659251615085e-07, 1.4398094094758562e-07, -1.4305188618458884e-06, 1729718936931180279, 
-1.2359659251615085e-07, 1.4398094094758562e-07, -1.4305061281075964e-06, 1729718936975793796, 
-1.0299709174432792e-07, 1.1998407956070878e-07, -1.192059834898854e-06, 1729718937025714706, 
9.67303458310198e-06, 1.018081729853293e-05, -1.1920507393693836e-06, 1729718937075608913, 
0.001735704718157649, 2.6812631404027343e-06, 0.00946509581779618, 1729718937125630739, 
0.005878181662410498, 0.0003282332909293473, 0.019324899145915488, 1729718937170749222, 
0.01104468759149313, 0.0006909561343491077, 0.029825795908086285, 1729718937216187116, 
0.021938040852546692, 0.0021993080154061317, 0.05200069432713788, 1729718937286272820, 
0.030635468661785126, 0.0030769272707402706, 0.07009895724047617, 1729718937331552908, 
0.04061952605843544, 0.004418324213474989, 0.09087646132561784, 1729718937375588394, 
0.05415838211774826, 0.006282691843807697, 0.1192894288207074, 1729718937425820356, 
0.0858042761683464, 0.011273855343461037, 0.18179831456812692, 1729718937525738055, 
0.10025256872177124, 0.014155710116028786, 0.2103261887475941, 1729718937572210356, 
0.14263233542442322, 0.025420550256967545, 0.29585833991028626, 1729718937716187747, 
0.17357376217842102, 0.036196984350681305, 0.3521128582068088, 1729718937825528094, 
0.20189893245697021, 0.047826800495386124, 0.40366269175452274, 1729718937926635886, 
0.2148304283618927, 0.053634244948625565, 0.4267862033143459, 1729718937972691280, 
0.25844743847846985, 0.07617226243019104, 0.48717668895424526, 1729718938132768861, 
0.26981526613235474, 0.08264113962650299, 0.4993784533307594, 1729718938175657865, 
0.29578277468681335, 0.0978240817785263, 0.5303811997962896, 1729718938275645946, 
0.3210371732711792, 0.11391691863536835, 0.5624641256395972, 1729718938372713782, 
0.34497973322868347, 0.12993380427360535, 0.5900506271556155, 1729718938465846889, 
0.3850114941596985, 0.1586146354675293, 0.6241005719897315, 1729718938625677642, 
0.4087437391281128, 0.1762973666191101, 0.6394449220566714, 1729718938724099699, 
0.4306449294090271, 0.1932477056980133, 0.6533276535289516, 1729718938816203533, 
0.4591636061668396, 0.21589478850364685, 0.6744687503091108, 1729718938933910819, 
0.4809935390949249, 0.23396095633506775, 0.6879513500435049, 1729718939025913930, 
0.49079400300979614, 0.24197526276111603, 0.6951861628198173, 1729718939076633086, 
0.5071778893470764, 0.2560521066188812, 0.7075053299975369, 1729718939217172645, 
0.5112465620040894, 0.2597159147262573, 0.7103004394449911, 1729718939318160817, 
0.5213727951049805, 0.2689058184623718, 0.7200585780072066, 1729718939427753115, 
0.5390570759773254, 0.2848535478115082, 0.7277331898600635, 1729718939525654132, 
0.5596961975097656, 0.3036561608314514, 0.7379624655976863, 1729718939616157230, 
0.5831721425056458, 0.32561251521110535, 0.7530706933269864, 1729718939716210917, 
0.6068112850189209, 0.34869593381881714, 0.7635599629190407, 1729718939826999590, 
0.628596842288971, 0.36998847126960754, 0.7717253403090176, 1729718939925968566, 
0.648600697517395, 0.38977280259132385, 0.7792224036248482, 1729718940015645716, 
0.6742238402366638, 0.4156661033630371, 0.7906898052709136, 1729718940136428884, 
0.6933738589286804, 0.4352639317512512, 0.7991110102648653, 1729718940226908481, 
0.7041833400726318, 0.44645875692367554, 0.8054924150643108, 1729718940275890372, 
0.7334828972816467, 0.4776003658771515, 0.8205896234516893, 1729718940416239982, 
0.758587658405304, 0.5050026774406433, 0.8247225716428602, 1729718940536077178, 
0.77668696641922, 0.5250759720802307, 0.8319390346216476, 1729718940627086214, 
0.7972555160522461, 0.5479292869567871, 0.8400425795563078, 1729718940726486138, 
0.8198522925376892, 0.5734518766403198, 0.8444081216042961, 1729718940836361020, 
0.8400281071662903, 0.5966444611549377, 0.8503477320728761, 1729718940936083186, 
0.8577157258987427, 0.6169369220733643, 0.851006085965571, 1729718941026217077, 
0.8778014183044434, 0.6399122476577759, 0.8517381797089397, 1729718941125562626, 
0.8959774374961853, 0.6605561375617981, 0.8537701186672991, 1729718941216117069, 
0.920199453830719, 0.6883264780044556, 0.8547587273800991, 1729718941337412550, 
0.9380468726158142, 0.7089862823486328, 0.8567566115339547, 1729718941425724480, 
0.957904577255249, 0.731935441493988, 0.8574731700567771, 1729718941525689379, 
0.9757007360458374, 0.7526731491088867, 0.8551091970633045, 1729718941615968371, 
0.9998709559440613, 0.7804864645004272, 0.8551498472011395, 1729718941736611321, 
1.0176645517349243, 0.8011793494224548, 0.8584328527424528, 1729718941826366965, 
1.027961254119873, 0.8130004405975342, 0.8624065738010809, 1729718941875701296, 
1.0557550191879272, 0.8456320762634277, 0.8628533093819278, 1729718942016739004, 
1.0799025297164917, 0.8737555742263794, 0.8641746753800313, 1729718942135608775, 
1.0975295305252075, 0.8947244882583618, 0.8656313493435934, 1729718942226161862, 
1.1169726848602295, 0.9177412390708923, 0.8686891535728014, 1729718942325651388, 
1.1349172592163086, 0.9390554428100586, 0.8714364711475104, 1729718942417309504, 
1.1583976745605469, 0.9670318961143494, 0.8748928808751447, 1729718942537134509, 
1.176714301109314, 0.9886855483055115, 0.879953313838035, 1729718942629918643, 
1.1847785711288452, 0.9986764788627625, 0.8811603857544945, 1729718942671661716, 
1.2133069038391113, 1.0333991050720215, 0.8824379720546988, 1729718942819898688, 
1.2348335981369019, 1.0596833229064941, 0.8826357890332962, 1729718942932493146, 
1.2540620565414429, 1.0832433700561523, 0.8836291564557706, 1729718943030740513, 
1.2715424299240112, 1.1045660972595215, 0.8854089748262085, 1729718943120665043, 
1.290932297706604, 1.1280778646469116, 0.8818888418298372, 1729718943220554964, 
1.312153935432434, 1.1540919542312622, 0.8827314853982298, 1729718943332282808, 
1.3317537307739258, 1.1780329942703247, 0.8858638040424379, 1729718943430732515, 
1.3487085103988647, 1.1988131999969482, 0.8867277929176759, 1729718943520666708, 
1.3707090616226196, 1.226078987121582, 0.886232075119308, 1729718943636715979, 
