angle_increment, stamp, 
0.008714509196579456, 1727902674403209648, 
0.008714509196579456, 1727902674537720034, 
0.008714509196579456, 1727902674660816936, 
0.008714509196579456, 1727902674795604228, 
0.008714509196579456, 1727902674918307781, 
0.008714509196579456, 1727902675041076056, 
0.008714509196579456, 1727902675176180086, 
0.008714509196579456, 1727902675299681947, 
0.008714509196579456, 1727902675434082594, 
0.008714509196579456, 1727902675557468290, 
0.008714509196579456, 1727902675692043361, 
0.008714509196579456, 1727902675814943079, 
0.008714509196579456, 1727902675938036944, 
