angle_increment, stamp, 
0.008714509196579456, 1727902642972206588, 
0.008714509196579456, 1727902643106948139, 
0.008714509196579456, 1727902643364956887, 
0.008714509196579456, 1727902643487786606, 
0.008714509196579456, 1727902643622795211, 
0.008714509196579456, 1727902643745680948, 
0.008714509196579456, 1727902643868785239, 
0.008714509196579456, 1727902644003686696, 
0.008714509196579456, 1727902644127143058, 
0.008714509196579456, 1727902644261662574, 
0.008714509196579456, 1727902644385437859, 
0.008714509196579456, 1727902644507137310, 
0.008714509196579456, 1727902644642446782, 
0.008714509196579456, 1727902644765066521, 
0.008714509196579456, 1727902644900113626, 
0.008714509196579456, 1727902645022998807, 
0.008714509196579456, 1727902645158311002, 
0.008714509196579456, 1727902645281034796, 
0.008714509196579456, 1727902645403996754, 
0.008714509196579456, 1727902645539498799, 
0.008714509196579456, 1727902645661705690, 
0.008714509196579456, 1727902645798387633, 
0.008714509196579456, 1727902645919710031, 
0.008714509196579456, 1727902646054890856, 
0.008714509196579456, 1727902646177955907, 
0.008714509196579456, 1727902646300354444, 
0.008714509196579456, 1727902646435562010, 
0.008714509196579456, 1727902646558232100, 
0.008714509196579456, 1727902646693382593, 
0.008714509196579456, 1727902646816257959, 
0.008714509196579456, 1727902646951678727, 
0.008714509196579456, 1727902647074428058, 
0.008714509196579456, 1727902647197202500, 
0.008714509196579456, 1727902647332208067, 
0.008714509196579456, 1727902647454963342, 
