angle_increment, stamp, 
0.008714509196579456, 1727902623787106713, 
0.008714509196579456, 1727902623922179354, 
0.008714509196579456, 1727902624044956481, 
0.008714509196579456, 1727902624180178269, 
0.008714509196579456, 1727902624302989618, 
0.008714509196579456, 1727902624425912169, 
0.008714509196579456, 1727902624560974162, 
0.008714509196579456, 1727902624683820603, 
0.008714509196579456, 1727902624820078957, 
0.008714509196579456, 1727902624941806352, 
0.008714509196579456, 1727902625064417628, 
0.008714509196579456, 1727902625200442854, 
0.008714509196579456, 1727902625322375173, 
0.008714509196579456, 1727902625457543369, 
0.008714509196579456, 1727902625580297292, 
0.008714509196579456, 1727902625715452469, 
0.008714509196579456, 1727902625838433687, 
0.008714509196579456, 1727902625973461347, 
0.008714509196579456, 1727902626096463176, 
0.008714509196579456, 1727902626219083433, 
0.008714509196579456, 1727902626354489220, 
0.008714509196579456, 1727902626477167199, 
0.008714509196579456, 1727902626599873605, 
0.008714509196579456, 1727902626734934838, 
0.008714509196579456, 1727902626857672614, 
0.008714509196579456, 1727902626992709625, 
0.008714509196579456, 1727902627115562474, 
0.008714509196579456, 1727902627238469025, 
0.008714509196579456, 1727902627373480260, 
0.008714509196579456, 1727902627496294497, 
0.008714509196579456, 1727902627631841727, 
0.008714509196579456, 1727902627754351560, 
0.008714509196579456, 1727902627889451293, 
0.008714509196579456, 1727902628012629491, 
0.008714509196579456, 1727902628135062676, 
0.008714509196579456, 1727902628270175891, 
0.008714509196579456, 1727902628392883518, 
0.008714509196579456, 1727902628527989029, 
0.008714509196579456, 1727902628650757379, 
0.008714509196579456, 1727902628787212268, 
0.008714509196579456, 1727902628908753312, 
0.008714509196579456, 1727902629031753159, 
0.008714509196579456, 1727902629166698431, 
0.008714509196579456, 1727902629289632242, 
0.008714509196579456, 1727902629424683105, 
0.008714509196579456, 1727902629547442658, 
0.008714509196579456, 1727902629682703816, 
0.008714509196579456, 1727902629806143234, 
0.008714509196579456, 1727902629928149219, 
0.008714509196579456, 1727902630063411858, 
