x, y, th, stamp, 
0.08196849375963211, -1.1239941120147705, -1.128212183399204, 1727902643142809539, 
0.08196849375963211, -1.1239941120147705, -1.1282121766552027, 1727902643236519710, 
0.08196849375963211, -1.1239941120147705, -1.1282123189484698, 1727902643286034048, 
0.08196849375963211, -1.1239941120147705, -1.1282122807462478, 1727902643354166661, 
0.08196849375963211, -1.1239941120147705, -1.1282124467785402, 1727902643384135401, 
0.08196849375963211, -1.1239941120147705, -1.1282124040470838, 1727902643446609671, 
0.08196849375963211, -1.1239941120147705, -1.1282123502133, 1727902643495842859, 
0.08196847885847092, -1.1239941120147705, -1.1282125371091785, 1727902643543933056, 
0.08196846395730972, -1.1239941120147705, -1.1282123327489861, 1727902643594495490, 
0.08196844905614853, -1.1239941120147705, -1.1282118584705747, 1727902643636969049, 
0.08197005093097687, -1.1239842176437378, -1.128073937429512, 1727902643685625385, 
0.082113116979599, -1.124194622039795, -1.1110818016664064, 1727902643736044370, 
0.08293694257736206, -1.125466227531433, -1.0738369123322826, 1727902643796754529, 
0.08320281654596329, -1.126724123954773, -1.045091525246854, 1727902643846786241, 
0.08387234807014465, -1.1277072429656982, -1.0188320962322677, 1727902643897688553, 
0.0842071920633316, -1.128608226776123, -0.9971838797031857, 1727902643943670467, 
0.08495516330003738, -1.1298794746398926, -0.971548693868852, 1727902643995517417, 
0.08596395701169968, -1.1309566497802734, -0.9470939801015792, 1727902644037485456, 
0.08673276752233505, -1.1326061487197876, -0.920102695261364, 1727902644086629906, 
0.08825308829545975, -1.1342264413833618, -0.8833659329108968, 1727902644155356845, 
0.08891686797142029, -1.1354020833969116, -0.8613719731921857, 1727902644196221172, 
0.08982588350772858, -1.1365938186645508, -0.8342109091151372, 1727902644245940112, 
0.09127777814865112, -1.137794017791748, -0.8037834231425983, 1727902644295653261, 
0.09353954344987869, -1.1403306722640991, -0.7618771621712279, 1727902644344675885, 
0.09622731804847717, -1.1427286863327026, -0.723574181775131, 1727902644396581624, 
