odom_x, odom_y, odom_th, timestamp, 
1.034928845911054e-05, -1.0112245035998058e-05, 3.33789914552868e-06, 1732747868643881072, 
1.034928845911054e-05, -1.0112245035998058e-05, 3.33789914552868e-06, 1732747868685081771, 
1.034928845911054e-05, -1.0112245035998058e-05, 3.33789914552868e-06, 1732747868733345463, 
1.034928845911054e-05, -1.0112245035998058e-05, 3.33789914552868e-06, 1732747868784444833, 
1.034928845911054e-05, -1.0112245035998058e-05, 3.33789914552868e-06, 1732747868833540580, 
1.034928845911054e-05, -1.0112245035998058e-05, 3.33789914552868e-06, 1732747868883459675, 
1.034928845911054e-05, -1.0112245035998058e-05, 3.33789914552868e-06, 1732747868925057216, 
1.034928845911054e-05, -1.0112245035998058e-05, 3.33789914552868e-06, 1732747868993800086, 
1.034928845911054e-05, -1.0112245035998058e-05, 3.33789914552868e-06, 1732747869044089094, 
1.034928845911054e-05, -1.0112245035998058e-05, 3.33789914552868e-06, 1732747869085840749, 
1.034928845911054e-05, -1.0112245035998058e-05, 3.33789914552868e-06, 1732747869133907791, 
1.034928845911054e-05, -1.0112245035998058e-05, 3.33789914552868e-06, 1732747869181136558, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0082113964424925e-05, 1732747869228141493, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0082113964424925e-05, 1732747869279261438, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0082138617452815e-05, 1732747869388278182, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008215257020446e-05, 1732747869487218893, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0082145494020015e-05, 1732747869579145464, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0082115524383305e-05, 1732747869680295753, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008208762739518e-05, 1732747869788300632, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0082079374104035e-05, 1732747869888217350, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008206309369874e-05, 1732747869978151229, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008204339291202e-05, 1732747870099075636, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008204339291202e-05, 1732747870188269739, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008204667282917e-05, 1732747870288217030, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008204904500262e-05, 1732747870378152109, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008204946623138e-05, 1732747870479321546, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008204946623138e-05, 1732747870588287598, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008204949255804e-05, 1732747870683225570, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008200431609559e-05, 1732747870783210844, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0082001977159964e-05, 1732747870879655504, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.00819522566758e-05, 1732747870994387314, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0081909612830725e-05, 1732747871083224785, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0081862730271835e-05, 1732747871183154079, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008186322300599e-05, 1732747871280539150, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0081869232455765e-05, 1732747871394446048, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008186534243505e-05, 1732747871483224997, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008185924681918e-05, 1732747871583157082, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008183001282909e-05, 1732747871680542940, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008185269100936e-05, 1732747871791676651, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008187145000366e-05, 1732747871884273238, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008187542097118e-05, 1732747871983257924, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008187266688006e-05, 1732747872093668887, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0081859277715885e-05, 1732747872173524251, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0081799192706584e-05, 1732747872284359183, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008176880408853e-05, 1732747872384313889, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0081763660512935e-05, 1732747872483076606, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008172332985541e-05, 1732747872574232113, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0081626411765276e-05, 1732747872684227846, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008158158810426e-05, 1732747872785198563, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008155253348299e-05, 1732747872882302756, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008153252317321e-05, 1732747872992658512, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008153017129741e-05, 1732747873085208559, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008151760677678e-05, 1732747873183196267, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008148131299854e-05, 1732747873283241698, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008145258822677e-05, 1732747873393280680, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008142218447149e-05, 1732747873484240416, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008140415238259e-05, 1732747873583166006, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008138232434037e-05, 1732747873683218584, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.008135685829111e-05, 1732747873793238373, 
4.869221811532043e-06, -3.7288773455657065e-06, -6.0081354575736654e-05, 1732747873843241495, 
4.931024705001619e-06, -3.800872264037025e-06, -5.936630580343378e-05, 1732747886083390960, 
4.931024705001619e-06, -3.800872264037025e-06, -5.93663238604036e-05, 1732747886193656039, 
4.931024705001619e-06, -3.800872264037025e-06, -5.936636030259067e-05, 1732747886285304266, 
4.931024705001619e-06, -3.800872264037025e-06, -5.936637158309506e-05, 1732747886386234219, 
4.931024705001619e-06, -3.800872264037025e-06, -5.936637170213014e-05, 1732747886483389819, 
4.931024705001619e-06, -3.800872264037025e-06, -5.93663772134377e-05, 1732747886576694213, 
5.281243375065969e-06, -4.208842256048229e-06, -5.531323480924966e-05, 1732747886684318774, 
0.0023252235259860754, 0.00013620522804558277, 0.01573203256065833, 1732747886784313427, 
0.010756581090390682, 0.0009636863833293319, 0.06497040731501966, 1732747886884326205, 
0.019797097891569138, 0.0019496011082082987, 0.11035439656245356, 1732747886974472953, 
0.029742684215307236, 0.0034997565671801567, 0.16626677532000503, 1732747887084311908, 
0.03795771300792694, 0.005587937775999308, 0.215910862010734, 1732747887184263099, 
0.046846456825733185, 0.007956738583743572, 0.26640992988571477, 1732747887284288639, 
0.056373126804828644, 0.010904121212661266, 0.3210758201965407, 1732747887394777062, 
0.0638779029250145, 0.013993681408464909, 0.36495143369719457, 1732747887484339883, 
0.07243479043245316, 0.017730029299855232, 0.4153132695042145, 1732747887584270734, 
0.08013638108968735, 0.02183304727077484, 0.46614410698264025, 1732747887684375600, 
0.08668938279151917, 0.026029646396636963, 0.5099066585750249, 1732747887776006736, 
0.09456995129585266, 0.031249938532710075, 0.5549330171603436, 1732747887884483045, 
0.10305684804916382, 0.036686550825834274, 0.590098695954507, 1732747887984900796, 
0.11171048134565353, 0.04260224103927612, 0.623408711807406, 1732747888084277299, 
0.1187119111418724, 0.04845939204096794, 0.6462071439774174, 1732747888174935684, 
0.12670406699180603, 0.05535665154457092, 0.6724150115599095, 1732747888285962473, 
0.13337011635303497, 0.061866533011198044, 0.6904289383206437, 1732747888384150549, 
0.1399068981409073, 0.06773686408996582, 0.6990157132304433, 1732747888484380179, 
0.14742015302181244, 0.07439892739057541, 0.7100328880504746, 1732747888594763352, 
0.15381015837192535, 0.08006115257740021, 0.7202580263805346, 1732747888685895724, 
0.16057871282100677, 0.08648013323545456, 0.7276168010334024, 1732747888784460844, 
0.16709458827972412, 0.09315698593854904, 0.7345204467058214, 1732747888884445031, 
0.17420481145381927, 0.1004723384976387, 0.7413175494934299, 1732747888994736930, 
0.18011584877967834, 0.1063762679696083, 0.7466748419758465, 1732747889085320934, 
0.1865689903497696, 0.11266598105430603, 0.7522052476506663, 1732747889184392363, 
0.19307087361812592, 0.11936128884553909, 0.7588971327581909, 1732747889284283063, 
0.20030592381954193, 0.12662410736083984, 0.7647817298086127, 1732747889394597780, 
0.20584280788898468, 0.13263961672782898, 0.7705529040675844, 1732747889486314199, 
0.21189923584461212, 0.13928905129432678, 0.7761471871163033, 1732747889584252969, 
0.21840791404247284, 0.14566737413406372, 0.7818201189362715, 1732747889681282050, 
0.22535160183906555, 0.1526787281036377, 0.7861101211587471, 1732747889790320511, 
0.23206105828285217, 0.1592099666595459, 0.7903681229857293, 1732747889888330295, 
0.2381574958562851, 0.16565443575382233, 0.7920332291000046, 1732747889980294352, 
0.24491913616657257, 0.17250195145606995, 0.7934368125454654, 1732747890080285217, 
0.25234150886535645, 0.1801319718360901, 0.7923920899373433, 1732747890189552327, 
0.2584228217601776, 0.18620973825454712, 0.7908199290967461, 1732747890284326182, 
0.26519089937210083, 0.19305044412612915, 0.7908199290967461, 1732747890384255446, 
0.271735280752182, 0.19943022727966309, 0.7898746277387897, 1732747890485312196, 
0.2794814109802246, 0.2070026397705078, 0.7878381248177861, 1732747890594448978, 
0.2856777608394623, 0.21304957568645477, 0.7870731582092833, 1732747890684329119, 
0.2925833761692047, 0.21988068521022797, 0.7870725816170991, 1732747890784259124, 
0.2993077039718628, 0.22622442245483398, 0.786487860177844, 1732747890880402644, 
0.30667129158973694, 0.2337171584367752, 0.7864918307415919, 1732747890994321143, 
0.31302371621131897, 0.24013516306877136, 0.7857090608390377, 1732747891084334133, 
0.31982913613319397, 0.24704310297966003, 0.7851886769487657, 1732747891184258760, 
0.3264296352863312, 0.2536012828350067, 0.7872730990553631, 1732747891280301549, 
0.3340970277786255, 0.26136264204978943, 0.7867809575401168, 1732747891395781080, 
0.3402908146381378, 0.2677674889564514, 0.7875059063420048, 1732747891484331737, 
0.3470103442668915, 0.27439460158348083, 0.7885740660380574, 1732747891584261416, 
0.3534151613712311, 0.2807501554489136, 0.7886219856691691, 1732747891680321039, 
0.3600905239582062, 0.28752127289772034, 0.7897298533743787, 1732747891774875077, 
0.36763709783554077, 0.29478582739830017, 0.7902232433521998, 1732747891884388713, 
0.374604195356369, 0.3017949163913727, 0.7901244474748028, 1732747891984327274, 
0.38169658184051514, 0.30889466404914856, 0.7909990517014344, 1732747892082337047, 
0.38825491070747375, 0.3154792785644531, 0.7910843273619359, 1732747892174352471, 
0.39597198367118835, 0.3232620358467102, 0.7903550160467396, 1732747892285379952, 
0.4029337763786316, 0.3303389847278595, 0.7925370757785409, 1732747892384263710, 
0.40986868739128113, 0.337478905916214, 0.7922324187352895, 1732747892482365500, 
0.41642871499061584, 0.3441539406776428, 0.7923960913352793, 1732747892574418820, 
0.4241790771484375, 0.3520558476448059, 0.7920142430734126, 1732747892685342850, 
0.4314998984336853, 0.35953283309936523, 0.7921127624270355, 1732747892785301074, 
0.43821030855178833, 0.36655813455581665, 0.7908737932365827, 1732747892883381601, 
0.44467324018478394, 0.37310221791267395, 0.7920550100577682, 1732747892974757884, 
0.4522894322872162, 0.38090527057647705, 0.7925430013011143, 1732747893086338965, 
0.4594237804412842, 0.38819751143455505, 0.7910725862373045, 1732747893186269158, 
0.4663413166999817, 0.3951681852340698, 0.7910588211845746, 1732747893284437943, 
0.4729050397872925, 0.40205278992652893, 0.7906983953895077, 1732747893374717164, 
0.48073720932006836, 0.4100940525531769, 0.7905343558623282, 1732747893485318600, 
0.487806111574173, 0.41731590032577515, 0.7893340373817092, 1732747893584595351, 
0.4948742687702179, 0.4244268536567688, 0.7898747436440267, 1732747893684373254, 
0.5026469230651855, 0.4322722554206848, 0.7903663724606821, 1732747893794670722, 
0.5090805292129517, 0.43881410360336304, 0.7897731308108563, 1732747893885494201, 
