e, e_dot, e_int, stamp, 
-0.1606446506652215, 0.0, -0.0321289301330443, 9814000000, 
-0.17404807208634665, -0.04467807140375054, -0.033022491561119305, 98384000000, 
-0.1740472630991056, -0.044675374779613676, -0.03391599905671158, 98452000000, 
-0.17404766091314255, 1.3705773469855724e-06, -0.034809533073239654, 98486000000, 
-0.17404772989700718, -1.5559930052755355e-06, -0.034809510260617016, 98520000000, 
-0.17404772989700718, -2.2994621540206595e-07, -0.03480954138047713, 98520000000, 
-0.17403803073107785, 3.233055309775912e-05, -0.034808899368339474, 98622000000, 
-0.17499415807466806, -0.0031547605922029507, -0.03487199458018354, 98690000000, 
-0.1678475925595589, 0.020634793905063193, -0.034458652091020316, 98724000000, 
-0.16539460941235667, 0.03199849554103795, -0.03388242400310557, 98792000000, 
-0.15621161949612092, 0.03878657687812657, -0.032630254764535765, 98860000000, 
-0.14839814743238472, 0.05665487326657318, -0.03133362508939082, 98894000000, 
-0.14306826345978152, 0.043811186787797995, -0.02984520202588581, 98962000000, 
-0.13729078232392683, 0.0370245503615263, -0.02858381288107287, 98996000000, 
-0.13080632482963878, 0.040873128767142476, -0.027411024707556474, 99064000000, 
-0.1234832208068097, 0.04602520505705712, -0.026105355197358352, 99132000000, 
-0.11799612200254979, 0.042700676090296624, -0.024819044509266548, 99200000000, 
-0.10882570138985259, 0.04885839805652367, -0.0233536696132808, 99268000000, 
-0.10410892198970242, 0.04629066670949122, -0.022062049692140318, 99302000000, 
-0.10065960202638247, 0.027220331211567084, -0.020906281693729167, 99370000000, 
-0.09570572133374021, 0.028010668853207382, -0.020031616356655006, 99404000000, 
-0.09134664091023653, 0.03104320372048645, -0.019180797618023947, 99472000000, 
-0.08873481240772714, 0.023236363086710232, -0.018385811643446926, 99506000000, 
-0.08873481240772714, 0.00870609500836464, -0.017921084381712717, 99506000000, 
-0.08534107065084541, 0.011312472522939099, -0.017520713031086647, 99608000000, 
-0.0825113236115012, 0.020744962654086485, -0.017105813778004915, 99642000000, 
-0.08092795573855426, 0.014710383040970517, -0.016585356666726725, 99676000000, 
-0.07942524685253523, 0.010286922529886555, -0.016190968413506045, 99710000000, 
-0.07770619144719194, 0.010739214304541037, -0.01587062626921876, 99744000000, 
-0.07770619144719194, 0.005730184684477613, -0.01565584198312794, 99744000000, 
-0.07430428115041526, 0.011339700989255602, -0.015314444269653277, 99812000000, 
-0.07263781513455086, 0.016894587708803598, -0.014976552515477203, 99846000000, 
-0.0718199562563111, 0.008281082980347207, -0.014584136836085148, 99880000000, 
-0.07094465683329507, 0.0056438610041859944, -0.014360161881610468, 99914000000, 
-0.06921791813608402, 0.00867346040075693, -0.014132168748379345, 99948000000, 
-0.06689154094524483, 0.013510386293500801, -0.013803607727641594, 99982000000, 
-0.06521814809896961, 0.013332566790381362, -0.013421840478686563, 100016000000, 
-0.06484856399538408, 0.006809923166202492, -0.013130550202639901, 100050000000, 
-0.0645919128600933, 0.002087450796254368, -0.0129772416636298, 100084000000, 
-0.06328946793566326, 0.005196986865736071, -0.012848662986076042, 100118000000, 
-0.05961056634023587, 0.016604488399524775, -0.012499463142399496, 100186000000, 
-0.05768337685265107, 0.018686970276707293, -0.01203889407523668, 100220000000, 
-0.056839134650584655, 0.00923810563217072, -0.01160887185623144, 100288000000, 
-0.05292941498767592, 0.01584653954991716, -0.011163461766060777, 100356000000, 
-0.050822022678908924, 0.020057039905585772, -0.010706038154477966, 100390000000, 
-0.048936101233797435, 0.013311045846261619, -0.010179169260025486, 100424000000, 
-0.04713152178984714, 0.012301669630205939, -0.009792643046836899, 100458000000, 
-0.04434195258842594, 0.015313828817904995, -0.009360638374138034, 100526000000, 
-0.04286070469094727, 0.014236056996332902, -0.008955611937948024, 100594000000, 
-0.042016115835620316, 0.007752789176018737, -0.008614584874332901, 100628000000, 
-0.040736417790905505, 0.0070809563334725545, -0.00837421588783154, 100696000000, 
-0.0383849956271049, 0.012103734028384716, -0.008075835283575382, 100764000000, 
-0.03738481967818302, 0.011171993709074938, -0.007767082206412895, 100798000000, 
-0.03642617196554038, 0.006529412205215079, -0.007479732484721887, 100832000000, 
-0.03642617196554038, 0.0031954923754754874, -0.007349144240617585, 100832000000, 
-0.035078896485151084, 0.00449091826796431, -0.007195416027748789, 100934000000, 
-0.03418298012208015, 0.007477306144867413, -0.007045869904851441, 101002000000, 
-0.033318864229205686, 0.005866774186484662, -0.006838716055762461, 101070000000, 
-0.03198337933268622, 0.007332002631313117, -0.006632348245598137, 101172000000, 
0.15482499245601727, 0.6271461889507431, 0.0059681832596083575, 101206000000, 
0.1579747868768584, 0.6331938873651487, 0.018721093333345967, 101274000000, 
0.1614099616675212, 0.02194989737167974, 0.03161398273335979, 101376000000, 
0.16494872746124503, 0.023246468614622113, 0.03228889840037497, 101444000000, 
0.16741268879069846, 0.020009090410590864, 0.03291809186129765, 101478000000, 
0.1705474555016266, 0.018662426801271854, 0.03352725811690468, 101546000000, 
0.17220348868566734, 0.01596933298322963, 0.034010908865199495, 101614000000, 
0.11879051925703346, -0.1725231208153104, 0.030769430896288488, 101648000000, 
0.09353172136388602, -0.2622392244059378, 0.02563504862043912, 101716000000, 
0.06613925543597836, -0.17550421273685032, 0.018564099737126524, 101818000000, 
0.05556046575946583, -0.12657085201473395, 0.014348762837288679, 101886000000, 
0.049898084864094555, -0.054137235239612676, 0.011439853737302582, 101954000000, 
0.03494169459482909, -0.06872923721545578, 0.009360016347892632, 102022000000, 
0.039629575338445085, -0.03422836508549823, 0.008297956986491248, 102090000000, 
0.037282115942759445, 0.0078014044931011784, 0.007456892391735574, 102158000000, 
0.04786796335840498, 0.027461293399866315, 0.008318643642640634, 102226000000, 
0.047977009962929126, 0.03564964673389894, 0.008875139284272904, 102294000000, 
0.051356881505902494, 0.011629727158325049, 0.009813456988482438, 102362000000, 
0.049782099209557104, 0.006016964155426592, 0.009941066045225913, 102430000000, 
0.052448481466438795, 0.0036386665351210066, 0.010239164145459893, 102464000000, 
0.050982453255737345, 0.004001180153934136, 0.01021420226211555, 102532000000, 
0.049785196420445155, -0.008877616819978803, 0.010214408742841418, 102566000000, 
0.04753637136206548, -0.011486939645572875, 0.009886934735883198, 102634000000, 
0.044276838125412075, -0.018361194316776932, 0.009439893727194847, 102702000000, 
0.04098434512205463, -0.021840087466702848, 0.008853170307302146, 102770000000, 
0.03912932975279679, -0.01715836124205096, 0.008292700866684233, 102838000000, 
0.037691216092948884, -0.010977096763685815, 0.007853659397853353, 102906000000, 
0.03547644647665195, -0.012176277587149462, 0.007486466154826508, 102974000000, 
0.033168775677373336, -0.01507480138525183, 0.007089095883131611, 103042000000, 
0.030967528356784593, -0.01502972706622452, 0.006640850034053992, 103110000000, 
0.029500561004975473, -0.01222738224132621, 0.00624245766927556, 103178000000, 
0.028516067400704517, -0.008171536520266918, 0.005932277117497639, 103246000000, 
0.027401675621399627, -0.006996284611919488, 0.005694553601805308, 103314000000, 
0.025820875839403526, -0.008983971871003305, 0.005449241257433845, 103382000000, 
0.024767035869745782, -0.008782132505512815, 0.0051993058220365955, 103450000000, 
0.023423693545208207, -0.00799060764731773, 0.0049341070169571675, 103552000000, 
0.02237687463733967, -0.007967204108020378, 0.0047045069368195774, 103620000000, 
0.020823850292907734, -0.00866614417433491, 0.004441627898363707, 103688000000, 
0.01874367210211348, -0.012110675117420628, 0.0041296264688240585, 103790000000, 
0.019838319417463245, -0.0032851029181482985, 0.00396038945416563, 103824000000, 
0.01792900230030825, -0.0027155660060174344, 0.0037673995879923317, 103892000000, 
0.016943452571317713, -0.009649556153818439, 0.0036473849526059473, 103926000000, 
0.016061786322994882, -0.006224053257711225, 0.0033956160796413896, 103994000000, 
0.015585782139159595, -0.004525568107193728, 0.0032394014022314793, 104096000000, 
0.015037216478931635, -0.0034152328135441585, 0.0031123189960724075, 104164000000, 
0.014798618083910534, -0.002623880184163535, 0.003028107780133451, 104232000000, 
0.012577679394635636, -0.008198456947653329, 0.002827567597165187, 104334000000, 
0.012055319021302191, -0.009144330208694477, 0.002628774433323224, 104402000000, 
0.01139777561831109, -0.003933012587748486, 0.002402051602283261, 104470000000, 
0.010693577880063861, -0.004539137137461099, 0.0022764448346451424, 104538000000, 
0.010045572236692953, -0.004507344605393793, 0.0021424617156711938, 104606000000, 
0.009321858970517079, -0.004572396365155942, 0.002004067272484926, 104674000000, 
0.008760034008853371, -0.0042851274261319384, 0.00187516434773756, 104742000000, 
0.008641198116318709, -0.0022688695139945654, 0.001781539406379277, 104810000000, 
0.008410525780654066, -0.0011650274273310168, 0.0017207838603884099, 104878000000, 
0.007998182863657959, -0.002143384175535834, 0.001669993784042049, 104946000000, 
0.007660047038007328, -0.0025015958088224605, 0.0016045837121546234, 105014000000, 
0.007122170992765187, -0.002920039569642574, 0.0015186933929620316, 105116000000, 
0.006650701874979216, -0.0033644838767603728, 0.0014288613270501155, 105184000000, 
0.006430928669769267, -0.0023041410766530663, 0.0013469201025009113, 105252000000, 
0.006430928669769267, -0.0007325773506998307, 0.00130083728096785, 105252000000, 
0.005830823363935124, -0.0020003510194471427, 0.0012461787135649104, 105354000000, 
0.005501549942146697, -0.003097929092075232, 0.001184220131723406, 105422000000, 
0.005284997614025436, -0.0018194191663656264, 0.0011078247280071505, 105490000000, 
0.005106433405841937, -0.0013170551210158674, 0.0010595320641342714, 105558000000, 
0.0049536392585217675, -0.001104527851678895, 0.0010230046852259427, 105660000000, 
0.004710940549217188, -0.0013183095220824978, 0.000984734214238726, 105694000000, 
0.00441555073402628, -0.0017936284149849592, 0.0009386753694510156, 105796000000, 
0.00431688522337857, -0.001313517752795391, 0.0008962251004414691, 105864000000, 
0.003968211298150875, -0.0014911314529180164, 0.0008467098170370483, 105932000000, 
0.00350545757744828, -0.002704758819767634, 0.0007860369399318483, 106034000000, 
0.0032690054581003877, -0.0023306861335016236, 0.0007161782889133028, 106102000000, 
0.0030682705316472294, -0.0014572901526701692, 0.0006561822378130598, 106170000000, 
0.002791121241741669, -0.0015929473878623958, 0.000608559815432619, 106238000000, 
0.0028245341608406187, -0.0008124545693553691, 0.0005789283956153011, 106306000000, 
0.0026209446249985755, -0.0005672553891436447, 0.0005491066685053909, 106374000000, 
0.0023437747426860236, -0.00160253139384865, 0.0005192835685683478, 106476000000, 
0.0021984299770424973, -0.0014083821598535942, 0.0004775432896484731, 106544000000, 
0.0022851317105259464, -0.00019547677386692422, 0.0004551557620169645, 106612000000, 
0.0022283033555457327, 9.957792834411801e-05, 0.0004474576695409451, 106714000000, 
0.0021039478213004358, -0.0006039462974183687, 0.000441158859158141, 106782000000, 
0.0019867419110881166, -0.0008052048148587202, 0.00042126620586228566, 106884000000, 
0.0018393675045261255, -0.0008819343892477009, 0.0003953371491276452, 106918000000, 
-0.12543674212110267, -0.42474494677396923, -0.008107375513699229, 106986000000, 
-0.12677205205460945, -0.42870473186378516, -0.0166912951114124, 107088000000, 
-0.127897543256192, -0.008202670450297711, -0.025340422495460275, 107156000000, 
-0.12910880159937993, -0.007789165149234926, -0.025585226460678758, 107224000000, 
-0.13084583180275589, -0.009827628488546328, -0.025856811777221853, 107326000000, 
-0.13168974836304317, -0.00860315587887748, -0.026109625451011934, 107394000000, 
-0.10410569896052657, 0.08913377614076438, -0.02444275194175504, 107496000000, 
-0.08399162387643219, 0.15899374828870327, -0.02131913808000013, 107564000000, 
-0.08432911021061329, 0.06592196249971094, -0.01816176220317147, 107632000000, 
-0.07281143844784656, 0.03726728476195212, -0.016075478168992803, 107734000000, 
-0.06359606841628883, 0.06911013931441487, -0.014715774471649911, 107802000000, 
-0.054633645339299056, 0.06059264369515834, -0.012736076813562295, 107904000000, 
-0.0573234647543977, 0.02090867887297042, -0.011703545233999038, 107972000000, 
-0.06055618886434218, -0.01974181175014374, -0.011500886597202595, 108040000000, 
-0.05652321043858671, 0.002667514386036629, -0.011626857603821771, 108108000000, 
-0.05485888428781038, 0.01899101525510598, -0.011462552239382617, 108176000000, 
-0.054422734529888356, 0.007001586362327857, -0.011053655283752363, 108244000000, 
-0.05385433283306579, 0.0033485048491486515, -0.010875730110050968, 108312000000, 
-0.054143565060581794, 0.0009305648976885387, -0.010828042161569063, 108380000000, 
-0.05152687996719943, 0.0077581762195545285, -0.010634985190723135, 108482000000, 
-0.049191909538826684, 0.016505518405850367, -0.010324156971107194, 108550000000, 
-0.04701065561221281, 0.015054081183288742, -0.009848629674549261, 108618000000, 
-0.04363102179325434, 0.018536292485241135, -0.009322239129619587, 108686000000, 
-0.040878747130037404, 0.020439694940584674, -0.00876802830236697, 108754000000, 
-0.03871157882957163, 0.01639814321227571, -0.008214756516857559, 108822000000, 
-0.036252762431632446, 0.015419948994683194, -0.007722872559416099, 108890000000, 
-0.03387060979495464, 0.0161365634487233, -0.007255663403743914, 108992000000, 
-0.03218259725241389, 0.013567217264061857, -0.006820397965266732, 109094000000, 
-0.031033672189123646, 0.009456458686103314, -0.006472458615766145, 109162000000, 
-0.029496016582807455, 0.008955268898688112, -0.006180819068289666, 109230000000, 
-0.027895383371452476, 0.010460962725570566, -0.005895004809558905, 109332000000, 
-0.026809046082481552, 0.008956568334419676, -0.005613363069116099, 109400000000, 
-0.02585468616136616, 0.006802324033621058, -0.005370607707686679, 109468000000, 
-0.024431949522482704, 0.00792365519999616, -0.005139712117755361, 109570000000, 
-0.02289984390579322, 0.009849474185243123, -0.004879098639309472, 109672000000, 
-0.021790040981585768, 0.00880636180298979, -0.00460812229399078, 109740000000, 
-0.020765594950860916, 0.007114163183107684, -0.00436369865588266, 109808000000, 
-0.01955951600671363, 0.007435083249573797, -0.004141010129277354, 109910000000, 
-0.01851101899881974, 0.007515253173470589, -0.003922408663759619, 109978000000, 
-0.01764119275771031, 0.006394410830011059, -0.003714115184216245, 110080000000, 
-0.01705097920580745, 0.00486679931004097, -0.0035468793974891663, 110182000000, 
-0.015971917362634508, 0.005564251316919344, -0.0033776059550768176, 110250000000, 
-0.014944878486477076, 0.007020335731101242, -0.0031978516703279353, 110284000000, 
-0.01412591464119875, 0.006153342404785859, -0.003002847366020689, 110386000000, 
-0.013572114684116815, 0.0045758793412008685, -0.002842860520786176, 110488000000, 
-0.013100084978461962, 0.003419432209122627, -0.0027198742869185017, 110556000000, 
-0.012387637619520997, 0.00394825688198606, -0.0026039891521399848, 110590000000, 
-0.011590467237958674, 0.005032059135010962, -0.0024718793223961087, 110692000000, 
