x, y, theta, stamp, 
1.4421136995679262e-07, -1.679782002383945e-07, 1.6689563357369815e-06, 1729713689734338799, 
1.6481293130254926e-07, -1.919750332035619e-07, 1.9073783174741794e-06, 1729713689802257538, 
5.56243662686029e-07, -6.479137368842203e-07, 6.437410144296826e-06, 1729713689850909193, 
1.4081695553613827e-05, 5.046107617090456e-06, 4.9830341193513786e-05, 1729713689893950467, 
0.002666664309799671, 8.798955241218209e-05, 0.007704480413382637, 1729713689944266419, 
0.00746967364102602, 0.00033830487518571317, 0.017824537177273815, 1729713689994188375, 
0.013906502164900303, 0.0008333299192599952, 0.02978035120145855, 1729713690042209821, 
0.02244228683412075, 0.0020898503717035055, 0.04812405665522922, 1729713690091933096, 
0.031283214688301086, 0.0029762976337224245, 0.06659934114984407, 1729713690134332970, 
0.047972194850444794, 0.0043828426860272884, 0.09968778846874474, 1729713690202434580, 
0.05675070360302925, 0.005366824567317963, 0.11690615083525718, 1729713690233716519, 
0.07546816021203995, 0.007915062829852104, 0.1534484798039217, 1729713690294456523, 
0.09150266647338867, 0.010630137287080288, 0.18677947026848718, 1729713690344581225, 
0.12139331549406052, 0.017368117347359657, 0.24894209746290802, 1729713690443265521, 
0.1338573396205902, 0.020609259605407715, 0.27709250419082115, 1729713690492943822, 
0.15117526054382324, 0.025853106752038002, 0.31618155583842406, 1729713690585334256, 
0.1664896458387375, 0.03096354380249977, 0.3502777584409584, 1729713690744051859, 
0.16746169328689575, 0.031304582953453064, 0.35328963811792463, 1729713690843933716, 
0.17049965262413025, 0.03275085613131523, 0.35833990144577715, 1729713690893926827, 
0.18264523148536682, 0.037292543798685074, 0.37280675823748477, 1729713690984788221, 
0.21885144710540771, 0.05344904959201813, 0.41498620564915617, 1729713691143998340, 
0.24749989807605743, 0.06746523082256317, 0.4461683802311247, 1729713691243903755, 
0.26147621870040894, 0.07445848733186722, 0.46468002015172755, 1729713691293924647, 
0.2838367819786072, 0.08668435364961624, 0.48956263914892795, 1729713691384442820, 
0.3015986680984497, 0.09698351472616196, 0.5125501585967036, 1729713691493812681, 
0.3141988217830658, 0.10463795810937881, 0.5304570136867476, 1729713691593981837, 
0.33585965633392334, 0.11812984943389893, 0.5577742845358372, 1729713691693003639, 
0.3784247040748596, 0.14738252758979797, 0.613847983608022, 1729713691853955923, 
0.38783320784568787, 0.15439637005329132, 0.6268117043343242, 1729713691894060922, 
0.4116063416004181, 0.1728803813457489, 0.6616382328277985, 1729713691994114527, 
0.43383708596229553, 0.1913580596446991, 0.6956569527924443, 1729713692094078707, 
0.4539775550365448, 0.2093467265367508, 0.7199849300173926, 1729713692203807147, 
0.4754852056503296, 0.22867797315120697, 0.7364771227678336, 1729713692293699390, 
0.4980885684490204, 0.24999259412288666, 0.7563994231515013, 1729713692394113933, 
0.5190209746360779, 0.27068376541137695, 0.7740245462547967, 1729713692493940004, 
0.5533007979393005, 0.30598175525665283, 0.8009026820309181, 1729713692653506968, 
0.5721348524093628, 0.3259763717651367, 0.8055747586567052, 1729713692743963601, 
0.5931015014648438, 0.3480425775051117, 0.8081859129408138, 1729713692843100474, 
0.6035186648368835, 0.3589235544204712, 0.8093973348614226, 1729713692893946081, 
0.6223495602607727, 0.3786998987197876, 0.8104007258068174, 1729713692984101486, 
0.6454532742500305, 0.40311670303344727, 0.8122051487089313, 1729713693094885954, 
0.6767696142196655, 0.4363052248954773, 0.8149686316284733, 1729713693243951001, 
0.6870266199111938, 0.4473435580730438, 0.8149686316284733, 1729713693293945976, 
0.7102600336074829, 0.47215327620506287, 0.8148918962620958, 1729713693403630072, 
0.7394827604293823, 0.5029339790344238, 0.8140881128369313, 1729713693544154811, 
0.7605507969856262, 0.5254387855529785, 0.8185879502412551, 1729713693643929666, 
0.7710471749305725, 0.536369800567627, 0.8208244276041031, 1729713693694962416, 
0.7900734543800354, 0.5568567514419556, 0.8233164887042094, 1729713693783543267, 
0.8241856098175049, 0.5936108231544495, 0.8282690277822565, 1729713693948086707, 
0.843192458152771, 0.6140825748443604, 0.8303181796773007, 1729713694039961567, 
0.8637437224388123, 0.6367733478546143, 0.8352243725029971, 1729713694139021214, 
0.873856246471405, 0.6481673121452332, 0.8383493566513878, 1729713694188784609, 
0.8965808153152466, 0.6733171939849854, 0.8444695222115735, 1729713694298624722, 
0.9157936573028564, 0.6949273943901062, 0.8502584777394954, 1729713694394037055, 
