x, y, theta, stamp, 
2.0602296046945412e-07, -2.3996966547201737e-07, 2.38424847097278e-06, 1729713426778754920, 
2.0602296046945412e-07, -2.3996966547201737e-07, 2.3842502917717927e-06, 1729713426839465436, 
2.0602296046945412e-07, -2.3996966547201737e-07, 2.3842530212743433e-06, 1729713426888563152, 
2.0602296046945412e-07, -2.3996966547201737e-07, 2.3842575688742117e-06, 1729713426939379582, 
1.8542060331583343e-07, -2.1597271882001223e-07, 2.1458283829567327e-06, 1729713426990455114, 
1.8542060331583343e-07, -2.1597271882001223e-07, 2.1458302594958595e-06, 1729713427035575129, 
1.8542060331583343e-07, -2.1597271882001223e-07, 2.1458302594958595e-06, 1729713427078690233, 
1.8542060331583343e-07, -2.1597271882001223e-07, 2.145830134688518e-06, 1729713427129227193, 
1.8542060331583343e-07, -2.1597271882001223e-07, 2.145830134688518e-06, 1729713427178814314, 
1.8542060331583343e-07, -2.1597271882001223e-07, 2.1458305552768136e-06, 1729713427239096017, 
0.023645896464586258, 0.0011726794764399529, 0.05418378352029533, 1729713427498956122, 
0.057847023010253906, 0.0042167236097157, 0.12492247260926893, 1729713427639467388, 
0.08952271193265915, 0.009358759969472885, 0.18927205884174642, 1729713427739411502, 
0.1191033273935318, 0.015910476446151733, 0.2528634622557719, 1729713427837467628, 
0.14548617601394653, 0.02351500652730465, 0.3088542435859862, 1729713427928538736, 
0.1708068549633026, 0.032250188291072845, 0.36528545224057685, 1729713428039497619, 
0.184962660074234, 0.03785257041454315, 0.3971406479057551, 1729713428140443883, 
0.18937797844409943, 0.03957444429397583, 0.40779592940904175, 1729713428187495354, 
0.19724275171756744, 0.043276797980070114, 0.4254704329922223, 1729713428329618127, 
0.21479971706867218, 0.05175165832042694, 0.45135008519059167, 1729713428439517100, 
0.2388634830713272, 0.06426326185464859, 0.47718313536322426, 1729713428541450129, 
0.2674029469490051, 0.07954749464988708, 0.49267133119306716, 1729713428638927378, 
0.29191577434539795, 0.09349526464939117, 0.5103197438183967, 1729713428729679272, 
0.32048606872558594, 0.1101241260766983, 0.5287263088388253, 1729713428839452825, 
0.3462481200695038, 0.1258203536272049, 0.5471123328419384, 1729713428939410515, 
0.37231993675231934, 0.14216461777687073, 0.5649791971470636, 1729713429039126725, 
0.39326322078704834, 0.15582838654518127, 0.5822306570824871, 1729713429128701208, 
0.421928733587265, 0.17550361156463623, 0.6068795828431627, 1729713429239493429, 
0.4464665353298187, 0.19328205287456512, 0.6318401740046508, 1729713429339463790, 
0.47040653228759766, 0.2117919623851776, 0.6523491344618252, 1729713429438821851, 
0.4923918545246124, 0.22937807440757751, 0.672350252998437, 1729713429530483799, 
0.5181770920753479, 0.25087517499923706, 0.6931803478076913, 1729713429638855116, 
0.5407387614250183, 0.27056366205215454, 0.7101121998322569, 1729713429739103472, 
0.5635928511619568, 0.2909286618232727, 0.7283506778648242, 1729713429838700373, 
0.5839553475379944, 0.3094794452190399, 0.7439567949065765, 1729713429930057944, 
0.6080436110496521, 0.33268430829048157, 0.7619268864384982, 1729713430038917260, 
0.6295714378356934, 0.35361340641975403, 0.7782285254318638, 1729713430139080606, 
0.6498604416847229, 0.37435805797576904, 0.794582939763578, 1729713430238572303, 
0.6680158972740173, 0.3933013379573822, 0.7986824646274152, 1729713430328689127, 
0.6918286681175232, 0.41800397634506226, 0.8042520957541266, 1729713430439491792, 
0.7125325798988342, 0.43972378969192505, 0.8093676858881581, 1729713430539358190, 
0.7334340214729309, 0.4621245563030243, 0.8139899030906621, 1729713430638590292, 
0.7526907324790955, 0.48240983486175537, 0.8187917228981091, 1729713430730828189, 
0.7757290005683899, 0.5070158243179321, 0.8199307495953971, 1729713430840501903, 
0.7962673902511597, 0.5290319323539734, 0.8199307495953971, 1729713430939445735, 
0.8171230554580688, 0.5517283082008362, 0.8208987281051043, 1729713431038866686, 
0.8361321687698364, 0.5720036029815674, 0.8189632373678841, 1729713431128578370, 
0.8590316772460938, 0.5965707302093506, 0.8204212033765025, 1729713431239516117, 
0.8789755702018738, 0.6179355978965759, 0.8260260946070235, 1729713431334597428, 
0.899728536605835, 0.640506386756897, 0.8306507428503693, 1729713431434649496, 
0.9225625395774841, 0.6658684015274048, 0.8346400377889075, 1729713431543567345, 
0.9419631958007812, 0.6879154443740845, 0.8373945766336384, 1729713431638504046, 
0.9624404907226562, 0.7106938362121582, 0.8402587899711561, 1729713431739472893, 
0.9825873374938965, 0.733314573764801, 0.8483750484882081, 1729713431839913583, 
1.005075454711914, 0.7589753270149231, 0.854256827434446, 1729713431949108891, 
1.0228999853134155, 0.7798540592193604, 0.8601426299892034, 1729713432038542718, 
1.0427441596984863, 0.8031777739524841, 0.8642295733167559, 1729713432139461724, 
1.0622928142547607, 0.8267292976379395, 0.8683855520539286, 1729713432239947788, 
1.084250569343567, 0.8529258966445923, 0.8709231840655658, 1729713432348923936, 
1.1019494533538818, 0.8742073774337769, 0.8741087547559768, 1729713432439494307, 
1.1213749647140503, 0.8972892761230469, 0.875487564141878, 1729713432538646901, 
1.1410905122756958, 0.9207572937011719, 0.8778637477141369, 1729713432639786841, 
1.1628522872924805, 0.947019100189209, 0.8778637477160531, 1729713432749450451, 
1.1804536581039429, 0.9682635068893433, 0.8778637477160531, 1729713432839493809, 
1.1998931169509888, 0.9918396472930908, 0.8791825154045547, 1729713432939471974, 
