x, y, theta, stamp, 
3.552713678800501e-15, 1.7763568394002505e-15, 7.551030481384849e-12, 1729713326083722381, 
3.552713678800501e-15, 1.7763568394002505e-15, 4.40637293068781e-12, 1729713326134443691, 
3.552713678800501e-15, 1.7763568394002505e-15, 6.622382582754407e-13, 1729713326193396179, 
3.552713678800501e-15, 1.7763568394002505e-15, -7.304798376670115e-13, 1729713326232866887, 
3.552713678800501e-15, 1.7763568394002505e-15, -3.0042292942610686e-12, 1729713326274264569, 
3.552713678800501e-15, 1.7763568394002505e-15, -5.4082945005771434e-12, 1729713326342921346, 
0.00014729028043802828, -0.00010702756117098033, 0.0013642390965635629, 1729713326393732986, 
0.0020782684441655874, -6.244178803171962e-05, 0.007520988100590271, 1729713326432893363, 
0.006170820444822311, 0.00022849392553325742, 0.01595086587719674, 1729713326483731493, 
0.012160621583461761, 0.000768236699514091, 0.02615525050937838, 1729713326532769135, 
0.021821394562721252, 0.0014483052073046565, 0.048231685332595954, 1729713326594256305, 
0.031685519963502884, 0.0024805597495287657, 0.07044232118024642, 1729713326645458310, 
0.038573749363422394, 0.0032568550668656826, 0.08382001805125151, 1729713326673943084, 
0.05733728036284447, 0.00527847558259964, 0.1217898642531035, 1729713326742936625, 
0.08509813994169235, 0.00957665778696537, 0.17914142701788505, 1729713326832709718, 
0.11634951084852219, 0.016011375933885574, 0.24674413864703865, 1729713326932696981, 
0.144974023103714, 0.02409709244966507, 0.30686195283997986, 1729713327033872915, 
0.17641426622867584, 0.03520580008625984, 0.37010857489076543, 1729713327142788368, 
0.20187899470329285, 0.045950863510370255, 0.42303789366571104, 1729713327233737052, 
0.2291383296251297, 0.05925247445702553, 0.4812323798522476, 1729713327333010598, 
0.2558484673500061, 0.07428273558616638, 0.5390108689426808, 1729713327433801303, 
0.2843138575553894, 0.09278668463230133, 0.6007721307701144, 1729713327542812995, 
0.3062496781349182, 0.10897394269704819, 0.6428831127591844, 1729713327633735205, 
0.33015602827072144, 0.12827755510807037, 0.6825711637822742, 1729713327732878562, 
0.35322973132133484, 0.14852336049079895, 0.7221434620473645, 1729713327832923184, 
0.37778812646865845, 0.17175057530403137, 0.758343754988335, 1729713327942839103, 
0.3975219130516052, 0.1913956105709076, 0.7851197676524382, 1729713328034732614, 
0.4185951054096222, 0.21349765360355377, 0.8107615610281615, 1729713328132695663, 
0.4391571283340454, 0.23620149493217468, 0.8309556670822404, 1729713328234151585, 
0.4605623185634613, 0.2602497637271881, 0.8467770289056801, 1729713328338726002, 
0.4799240529537201, 0.2826001048088074, 0.8594887809885869, 1729713328436799632, 
0.4978446066379547, 0.30388402938842773, 0.8688071982064924, 1729713328529793019, 
0.5174756050109863, 0.3274587392807007, 0.8797127218388525, 1729713328630168426, 
0.5385306477546692, 0.3536762297153473, 0.8936988593196646, 1729713328737848544, 
0.557571530342102, 0.3776123821735382, 0.9009537729381132, 1729713328838403294, 
0.5792361497879028, 0.40542933344841003, 0.9030899279415465, 1729713328952722520, 
0.5944685935974121, 0.4245821237564087, 0.9032700304716645, 1729713329032537237, 
0.6154499650001526, 0.4508299231529236, 0.9024333114828147, 1729713329142732088, 
0.6322681903839111, 0.4720805585384369, 0.8997286250938529, 1729713329234137297, 
0.6510453224182129, 0.4959528148174286, 0.8960775447842606, 1729713329334150913, 
0.6701027750968933, 0.5194717645645142, 0.8933905410140547, 1729713329434192424, 
0.6911560297012329, 0.5458898544311523, 0.8901611384105761, 1729713329542530209, 
0.7082685828208923, 0.5669322609901428, 0.888396324069599, 1729713329634348825, 
0.72725510597229, 0.589963436126709, 0.8828614606946046, 1729713329732988654, 
0.7455511093139648, 0.6121727824211121, 0.8761614945062302, 1729713329828542552, 
0.7680448293685913, 0.6391022205352783, 0.8703127518030748, 1729713329943626130, 
0.7854700088500977, 0.659512460231781, 0.8667991822443513, 1729713330034306254, 
0.8051701784133911, 0.6822375059127808, 0.8608614565309116, 1729713330133700139, 
0.8273447751998901, 0.7075627446174622, 0.8568557762929331, 1729713330243062039, 
0.847205638885498, 0.730477511882782, 0.8537920336660856, 1729713330344787287, 
0.8649733662605286, 0.7509628534317017, 0.8514075208589923, 1729713330433765681, 
0.8850438594818115, 0.7734996676445007, 0.8463397747243968, 1729713330533190158, 
0.9076365828514099, 0.7986915111541748, 0.8423313525018991, 1729713330643347699, 
0.9278494715690613, 0.8209786415100098, 0.8381860814243444, 1729713330745091252, 
0.9464089274406433, 0.8413212895393372, 0.8372963077028501, 1729713330833723717, 
0.9669591188430786, 0.8638487458229065, 0.8351293869157757, 1729713330932717353, 
0.9864668250083923, 0.8853504657745361, 0.834013852275756, 1729713331029876245, 
1.0092246532440186, 0.9106019735336304, 0.8330428574049852, 1729713331140959628, 
1.02812922000885, 0.9311172366142273, 0.8326578193103914, 1729713331232913110, 
1.048436164855957, 0.9532707333564758, 0.8320888795801314, 1729713331333952878, 
1.0713379383087158, 0.978009045124054, 0.8300716760558238, 1729713331444206787, 
1.0913885831832886, 0.999646782875061, 0.8302146817697541, 1729713331541760937, 
1.1100976467132568, 1.0199413299560547, 0.8297655701604765, 1729713331633917923, 
1.1306681632995605, 1.042368769645691, 0.829131682797799, 1729713331734721129, 
1.1476902961730957, 1.0609735250473022, 0.8281856198734359, 1729713331844534952, 
1.1566951274871826, 1.0712502002716064, 0.8284655531011541, 1729713331896003148, 
1.1869720220565796, 1.1042474508285522, 0.8299903614557945, 1729713332034772805, 
1.2067681550979614, 1.1262015104293823, 0.8297544298632819, 1729713332135066376, 
1.227376103401184, 1.1483525037765503, 0.8276897307142054, 1729713332233636759, 
1.2499107122421265, 1.1730883121490479, 0.8296810218436808, 1729713332343079816, 
1.268528938293457, 1.1935275793075562, 0.8307265835408558, 1729713332433790823, 
1.2890305519104004, 1.2160930633544922, 0.8319213901834066, 1729713332533613333, 
