e, e_dot, e_int, stamp, 
2.8284271463537416, 0.0, 0.30935590987267925, 1729718993286792443, 
2.8284270839303485, -4.167856756188652e-07, 0.33267600640426453, 1729718993336716898, 
2.8284275135933608, 4.3413383719914265e-06, 0.22634422300910048, 1729718993366817207, 
2.826568647945692, -0.009960525484665724, 0.26094545294250804, 1729718993428995255, 
2.822964341145002, -0.03388771733081319, 0.3176414260188726, 1729718993479217386, 
2.8180636071064558, -0.05802423014125221, 0.27696131352701125, 1729718993527120376, 
2.8121699253799766, -0.07357986552570879, 0.2751976043604619, 1729718993576883716, 
2.805986617518413, -0.08723924998504252, 0.26129135726582114, 1729718993620038064, 
2.79358724038097, -0.10901030994223009, 0.31021084160597173, 1729718993687518627, 
2.782566818860309, -0.13340023063674514, 0.33079890186605715, 1729718993738432248, 
2.771949082581455, -0.15657403927807714, 0.2583359892456864, 1729718993780355042, 
2.746051935054234, -0.17018616971451742, 0.39448848730316954, 1729718993881008694, 
2.720866576477442, -0.17132792670277644, 0.5458742602696538, 1729718993979122987, 
2.6973119963203875, -0.17327495962388417, 0.5106206828744759, 1729718994068639610, 
2.667026042103359, -0.17918509457202392, 0.5386857239597096, 1729718994179001314, 
2.6394283964771676, -0.18339039492232012, 0.5614509478314722, 1729718994279084637, 
2.6109077372706855, -0.18711486090539475, 0.52768246122149, 1729718994378947628, 
2.58462009609014, -0.19226484626343154, 0.49657305417328607, 1729718994469222159, 
2.5521177270046875, -0.19544539831333976, 0.5175426227130241, 1729718994579347589, 
2.5220746829791483, -0.1989459982394597, 0.5353641137203938, 1729718994678927298, 
2.4911867200019673, -0.20351111660672383, 0.5033352473961862, 1729718994778941782, 
2.4641225656650296, -0.20308307858107308, 0.4738266355262659, 1729718994869031205, 
2.431072911001438, -0.19996469206460268, 0.49352437647856806, 1729718994979388102, 
2.399917599852182, -0.20393765700989364, 0.5109184116857461, 1729718995079138330, 
2.368968711632265, -0.20748375346664436, 0.4789109396516383, 1729718995178935457, 
2.3563919611011412, -0.20747271315336083, 0.33267565140677174, 1729718995219206818, 
2.3197525509277885, -0.20626473528124178, 0.3753048528286724, 1729718995338750427, 
2.2925691931921874, -0.20271442796580286, 0.4870187966527153, 1729718995428866226, 
2.261473392551251, -0.20385664796630146, 0.4363725323160969, 1729718995529200909, 
2.2338515255037756, -0.2057779005826639, 0.4303238191136102, 1729718995619053556, 
2.1847984760891483, -0.20475479019266973, 0.5560355084767542, 1729718995778912842, 
2.15434507275523, -0.20375907162194906, 0.5694291721048307, 1729718995878948398, 
2.1238614822709296, -0.20292555693756897, 0.43128692505457544, 1729718995979107762, 
2.111584087944347, -0.20389890927504592, 0.2984157363667318, 1729718996019054273, 
